,iteration,front_size,reward,simplicity
753,294,3,368.4833,1.0
754,294,3,1200.1521,0.73333335
755,294,3,1115.1646,0.93333334
756,295,3,368.4833,1.0
757,295,3,1200.1521,0.73333335
758,295,3,1115.1646,0.93333334
759,296,3,368.4833,1.0
760,296,3,1200.1521,0.73333335
761,296,3,1115.1646,0.93333334
762,297,3,368.4833,1.0
763,297,3,1200.1521,0.73333335
764,297,3,1115.1646,0.93333334
765,298,3,368.4833,1.0
766,298,3,1200.1521,0.73333335
767,298,3,1115.1646,0.93333334
768,299,3,368.4833,1.0
769,299,3,1200.1521,0.73333335
770,299,3,1115.1646,0.93333334
771,300,3,368.4833,1.0
772,300,3,1200.1521,0.73333335
773,300,3,1115.1646,0.93333334
774,301,3,368.4833,1.0
775,301,3,1200.1521,0.73333335
776,301,3,1115.1646,0.93333334
777,302,3,368.4833,1.0
778,302,3,1200.1521,0.73333335
779,302,3,1115.1646,0.93333334
780,303,4,368.4833,1.0
781,303,4,1200.1521,0.73333335
782,303,4,1137.2631,0.8666667
783,303,4,1115.8907,0.93333334
784,304,4,368.4833,1.0
785,304,4,1200.1521,0.73333335
786,304,4,1137.2631,0.8666667
787,304,4,1115.8907,0.93333334
788,305,4,368.4833,1.0
789,305,4,1200.1521,0.73333335
790,305,4,1137.2631,0.8666667
791,305,4,1115.8907,0.93333334
792,306,4,368.4833,1.0
793,306,4,1200.1521,0.73333335
794,306,4,1137.2631,0.8666667
795,306,4,1115.8907,0.93333334
796,307,4,368.4833,1.0
797,307,4,1200.1521,0.73333335
798,307,4,1137.2631,0.8666667
799,307,4,1115.8907,0.93333334
800,308,4,368.4833,1.0
801,308,4,1200.1521,0.73333335
802,308,4,1137.2631,0.8666667
803,308,4,1115.8907,0.93333334
804,309,4,368.4833,1.0
805,309,4,1200.1521,0.73333335
806,309,4,1137.2631,0.8666667
807,309,4,1115.8907,0.93333334
808,310,4,368.4833,1.0
809,310,4,1200.1521,0.73333335
810,310,4,1137.2631,0.8666667
811,310,4,1115.8907,0.93333334
812,311,4,368.4833,1.0
813,311,4,1200.1521,0.73333335
814,311,4,1137.2631,0.8666667
815,311,4,1115.8907,0.93333334
816,312,4,368.4833,1.0
817,312,4,1200.1521,0.73333335
818,312,4,1137.2631,0.8666667
819,312,4,1115.8907,0.93333334
820,313,4,368.4833,1.0
821,313,4,1200.1521,0.73333335
822,313,4,1137.2631,0.8666667
823,313,4,1115.8907,0.93333334
824,314,4,368.4833,1.0
825,314,4,1200.1521,0.73333335
826,314,4,1137.2631,0.8666667
827,314,4,1115.8907,0.93333334
828,315,4,368.4833,1.0
829,315,4,1200.1521,0.73333335
830,315,4,1137.2631,0.8666667
831,315,4,1115.8907,0.93333334
832,316,4,368.4833,1.0
833,316,4,1200.1521,0.73333335
834,316,4,1137.2631,0.8666667
